condition,goal,minimal_actions,seed,distinct_actions,turns_moved,total_reward,retries,defaults,actions_used
baseline,False,False,0,1,0,-0.01,1,0,search
baseline,False,False,1,2,0,-0.02,0,0,search wait
baseline,False,False,2,3,0,-0.03,0,0,pickup search wait
goal,True,False,0,4,3,-0.07,0,0,down east north west
goal,True,False,1,2,7,-0.04,0,0,north south
goal,True,False,2,2,0,-0.1,0,0,down north
minimal,False,True,0,2,0,-0.02,1,0,north search
minimal,False,True,1,1,0,-0.05,0,0,search
minimal,False,True,2,1,0,-0.02,2,0,search
goal+minimal,True,True,0,3,10,-0.02,0,0,north south west
goal+minimal,True,True,1,2,1,-0.09,0,0,north west
goal+minimal,True,True,2,1,3,-0.08,0,0,north
